index,defense_action,text_snippet,top_contributing_features
3,quarantine,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"txt (3.9159998893737793), win (2.756999969482422), text (1.2549999952316284), free (0.765999972820282), in (-0.5630000233650208), apply (0.2669999897480011), call (-0.2460000067949295), to (-0.2029999941587448), your (-0.164000004529953), now (-0.15399999916553497)"
9,quarantine,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"call (3.5260000228881836), claim (2.2769999504089355), customer (0.5740000009536743), you (0.4950000047683716), to (-0.49300000071525574), me (0.3370000123977661), been (0.30399999022483826), your (-0.20499999821186066), my (0.15800000727176666), from (-0.1420000046491623)"
10,quarantine,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"call (3.3540000915527344), free (1.1160000562667847), or (0.9860000014305115), mobile (0.9769999980926514), the (-0.828000009059906), with (0.7120000123977661), your (0.4819999933242798), for (0.414000004529953), to (-0.3880000114440918), me (0.34700000286102295)"
12,quarantine,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","txt (3.2890000343322754), win (2.6449999809265137), reply (1.4479999542236328), send (1.1510000228881836), from (0.8370000123977661), cash (0.47600001096725464), cost (0.2680000066757202), call (-0.21299999952316284), 150p (0.20200000703334808), apply (0.20200000703334808)"
13,quarantine,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","txt (3.7039999961853027), claim (1.9900000095367432), won (1.1390000581741333), free (0.8320000171661377), no (-0.7129999995231628), in (-0.5529999732971191), to (0.4880000054836273), have (0.2980000078678131), call (-0.28999999165534973), you (0.15700000524520874)"
16,quarantine,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","txt (4.160999774932861), to (1.0049999952316284), next (0.9739999771118164), or (0.9440000057220459), message (0.8970000147819519), the (-0.7239999771118164), in (-0.5479999780654907), your (0.3630000054836273), call (-0.32499998807907104), me (0.18199999630451202)"
20,quarantine,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","txt (4.60099983215332), dont (0.843999981880188), ur (0.5350000262260437), to (-0.49000000953674316), call (-0.3330000042915344), the (0.27799999713897705), your (-0.1940000057220459), now (-0.16899999976158142), me (0.14800000190734863), from (-0.13099999725818634)"
35,quarantine,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"ringtone (2.312000036239624), reply (2.121999979019165), you (-0.8220000267028809), or (0.8069999814033508), mobile (0.7519999742507935), your (0.6819999814033508), to (0.45899999141693115), not (-0.4050000011920929), no (-0.40299999713897705), will (-0.3959999978542328)"
43,quarantine,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for deliv,"sms (2.3269999027252197), reply (1.5549999475479126), msg (1.2619999647140503), call (1.1410000324249268), now (1.0210000276565552), free (0.8209999799728394), your (0.7990000247955322), mobile (0.7509999871253967), to (-0.6370000243186951), for (-0.5619999766349792)"
55,quarantine,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"sms (3.0450000762939453), reply (2.509999990463257), or (1.0839999914169312), new (0.9940000176429749), the (-0.6949999928474426), call (-0.4410000145435333), and (-0.3190000057220459), to (-0.27900001406669617), me (0.1550000011920929), your (-0.1550000011920929)"
57,quarantine,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","call (3.1679999828338623), free (1.6460000276565552), out (1.4550000429153442), now (1.1649999618530273), dont (0.6809999942779541), for (0.625), me (0.3449999988079071), all (0.2750000059604645), my (0.1940000057220459), and (0.1850000023841858)"
66,quarantine,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589","call (4.2729997634887695), to (0.8629999756813049), you (-0.7260000109672546), with (0.6380000114440918), of (0.6240000128746033), customer (0.5289999842643738), me (0.3709999918937683), your (0.2680000066757202), that (-0.22599999606609344), my (0.19499999284744263)"
68,quarantine,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3A","txt (3.7260000705718994), claim (2.2179999351501465), or (1.0959999561309814), ur (0.46000000834465027), call (-0.30000001192092896), your (-0.16699999570846558), me (0.15399999916553497), now (-0.13600000739097595), 18 (0.13199999928474426), my (0.11999999731779099)"
94,quarantine,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,"call (4.552000045776367), service (1.4229999780654907), won (1.0640000104904175), or (0.8550000190734863), cash (0.5139999985694885), customer (0.5059999823570251), you (0.47699999809265137), me (0.35499998927116394), have (0.26499998569488525), as (-0.21899999678134918)"
96,quarantine,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","text (2.5350000858306885), ringtone (2.4730000495910645), free (2.322999954223633), your (2.1670000553131104), and (-0.6729999780654907), to (0.37599998712539673), you (0.3330000042915344), the (0.27399998903274536), is (0.2709999978542328), get (-0.23499999940395355)"
114,quarantine,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,"call (3.763000011444092), claim (2.382999897003174), won (1.2269999980926514), to (0.9639999866485596), you (-0.5550000071525574), me (0.3449999988079071), that (-0.3089999854564667), are (-0.18199999630451202), my (0.16899999976158142), from (-0.13500000536441803)"
117,quarantine,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,"claim (3.010999917984009), been (1.2269999980926514), to (0.9869999885559082), or (0.8429999947547913), call (-0.4860000014305115), you (0.4480000138282776), 18 (0.18199999630451202), your (-0.17599999904632568), txt (-0.17499999701976776), me (0.17000000178813934)"
120,quarantine,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"call (3.38700008392334), claim (2.058000087738037), your (0.5429999828338623), to (0.492000013589859), for (0.3919999897480011), me (0.3630000054836273), my (0.20000000298023224), now (-0.12600000202655792), and (0.12300000339746475), but (0.12200000137090683)"
121,quarantine,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","call (3.9159998893737793), your (1.3550000190734863), mobile (1.2929999828338623), from (0.8889999985694885), to (0.6290000081062317), this (0.6259999871253967), was (-0.6140000224113464), no (-0.4339999854564667), me (0.3930000066757202), my (0.2240000069141388)"
123,quarantine,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"call (3.3239998817443848), claim (2.375), to (0.9160000085830688), you (0.5149999856948853), me (0.35600000619888306), have (-0.23600000143051147), my (0.1770000010728836), your (-0.17399999499320984), from (-0.1589999943971634), and (0.13099999725818634)"
134,quarantine,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,"txt (4.2870001792907715), win (2.5290000438690186), to (1.0069999694824219), in (-0.625), call (-0.30399999022483826), is (-0.21400000154972076), know (-0.1940000057220459), me (0.16099999845027924), my (0.15800000727176666), the (0.15700000524520874)"
139,quarantine,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"chat (2.3540000915527344), free (2.0), text (1.9809999465942383), from (0.828000009059906), not (-0.7070000171661377), to (0.5260000228881836), with (0.453000009059906), get (0.37700000405311584), call (-0.3569999933242798), go (-0.2540000081062317)"
147,quarantine,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","stop (2.2880001068115234), text (1.934999942779541), reply (1.7760000228881836), msg (1.6640000343322754), my (-1.5399999618530273), from (0.7639999985694885), you (0.43799999356269836), call (-0.20800000429153442), per (0.164000004529953), to (0.15399999916553497)"
159,quarantine,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,"call (4.172999858856201), now (1.2890000343322754), you (-1.0190000534057617), service (0.996999979019165), new (0.9409999847412109), for (0.5070000290870667), customer (0.503000020980835), to (0.3869999945163727), me (0.3540000021457672), my (0.17100000381469727)"
160,quarantine,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,"claim (3.010999917984009), been (1.2259999513626099), to (0.9769999980926514), or (0.843999981880188), cash (0.550000011920929), call (-0.4869999885559082), you (0.35199999809265137), have (0.19599999487400055), your (-0.17900000512599945), are (-0.17800000309944153)"
164,quarantine,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,"sms (2.0199999809265137), send (1.7630000114440918), reply (1.7109999656677246), stop (1.5140000581741333), or (1.0770000219345093), see (0.44600000977516174), you (0.4059999883174896), call (-0.335999995470047), is (0.19099999964237213), me (0.1770000010728836)"
